                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.53506,                0.69305,                 1.1235,                0.86521,                0.87023,                0.93502,                0.80314,                0.57217,                0.66264,                0.85482,             0.00018709,             0.00018709,             0.00018709
                     87,                0.53094,                0.68418,                 1.1194,                 0.8597,                0.83177,                0.92418,                0.80033,                0.55213,                0.72098,                 0.8483,             0.00017609,             0.00017609,             0.00017609
                     88,                 0.5377,                0.68496,                 1.1248,                0.89192,                0.82915,                0.92922,                0.82472,                0.55063,                0.67713,                0.84346,             0.00016509,             0.00016509,             0.00016509
                     89,                 0.5381,                0.69924,                 1.1286,                0.88915,                0.82313,                0.92731,                0.81297,                0.54406,                0.67392,                0.82565,              0.0001541,              0.0001541,              0.0001541
                     90,                0.52942,                0.67045,                 1.1152,                0.92836,                0.82771,                0.93206,                0.82871,                0.56695,                0.64235,                0.85381,              0.0001431,              0.0001431,              0.0001431
                     91,                0.46874,                0.58442,                 1.0866,                0.91006,                0.83814,                0.92711,                0.80732,                0.54797,                0.67899,                0.85488,              0.0001321,              0.0001321,              0.0001321
                     92,                0.44258,                0.48153,                 1.0613,                 0.8584,                0.80305,                0.91124,                 0.8124,                0.55639,                0.70465,                0.82906,              0.0001211,              0.0001211,              0.0001211
                     93,                0.41287,                0.46294,                 1.0432,                0.87285,                0.86891,                0.92353,                0.80332,                0.56121,                0.65652,                0.83164,              0.0001101,              0.0001101,              0.0001101
                     94,                0.41146,                0.43466,                 1.0486,                0.90998,                0.85273,                0.93765,                0.82943,                0.53548,                0.64864,                0.83224,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.39512,                 0.4135,                 1.0333,                0.89526,                0.83986,                0.91765,                0.81619,                0.54873,                0.65713,                0.83328,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.40754,                0.42428,                 1.0355,                0.89523,                0.83312,                0.92355,                0.82244,                0.52837,                0.64537,                0.82056,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 0.3837,                0.42143,                 1.0236,                0.94392,                0.81355,                0.93313,                0.83936,                 0.5276,                0.62333,                 0.8168,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.39347,                0.41706,                 1.0267,                0.91242,                0.82864,                0.92775,                0.83439,                0.52555,                0.63275,                0.81314,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.38861,                0.40534,                   1.04,                0.88497,                0.83092,                0.92494,                0.82596,                0.53137,                 0.6635,                0.82994,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.38135,                0.39261,                 1.0143,                0.93337,                0.77913,                 0.9232,                0.82792,                 0.5267,                  0.672,                 0.8225,             3.3108e-05,             3.3108e-05,             3.3108e-05
